,,Estimated Return,Estimated Return,Estimated Return
,,mean,amin,amax
Year,Prosper Rating (Letter),,,
2009,A,0.08057576419213973,0.0484,0.1831
2009,AA,0.06892592592592589,0.0264,0.1936
2009,B,0.09466836734693876,0.0582,0.2837
2009,C,0.12167076923076932,0.0152,0.2667
2009,D,0.14437567567567577,0.0095,0.2313
2009,E,0.14690621761658026,-0.0108,0.1843
2009,HR,0.06705507246376821,-0.1827,0.1399
2010,A,0.06525950155763238,0.0189,0.1779
2010,AA,0.05943630672926439,0.0146,0.1647
2010,B,0.0778397388059699,-0.001,0.2538
2010,C,0.11707121212121188,-0.0091,0.2667
2010,D,0.14393279938977852,-0.0045,0.2332
2010,E,0.15460285714285726,-0.0124,0.1843
2010,HR,0.08737593818984486,-0.1773,0.1399
2011,A,0.07443002028397552,0.0222,0.1303
2011,AA,0.053633393829400924,0.0245,0.0903
2011,B,0.09540608695652178,0.0391,0.1467
2011,C,0.11224515765765705,0.06,0.1595
2011,D,0.13504469905285585,0.0688,0.1755
2011,E,0.14485472679965214,0.0959,0.1587
2011,HR,0.11357377341659267,0.0799,0.1369
2012,A,0.07736786231884138,0.0178,0.1222
2012,AA,0.06119637546468418,0.0331,0.0953
2012,B,0.10158508629111077,0.027999999999999997,0.142
2012,C,0.11781169365201909,0.0424,0.158
2012,D,0.12595310366232285,0.0516,0.1733
2012,E,0.13005278361344502,0.0624,0.1588
2012,HR,0.12281016809037537,0.1124,0.1271
2013,A,0.06844107353188558,0.0394,0.1065
2013,AA,0.049764880883207546,0.0381,0.0782
2013,B,0.08376637867160543,0.0466,0.1214
2013,C,0.09310345115472211,0.0524,0.1281
2013,D,0.1023086366354391,0.0578,0.1318
2013,E,0.10995031170158374,0.0624,0.1363
2013,HR,0.11467414860680973,0.10430999999999999,0.1185
