Year,Prosper Rating (Letter),Estimated Return
2012,A,0.06
2013,D,0.09066
2013,B,0.07077
2013,E,0.1107
2013,C,0.0984
2013,AA,0.04231
2013,AA,0.04231
2012,C,0.1442
2013,A,0.0631
2013,A,0.0603
2012,HR,0.1246
2013,E,0.1248
2013,A,0.06
2013,D,0.0927
2013,B,0.07077
2013,HR,0.1185
2013,D,0.1051
2013,C,0.07766
2013,E,0.10307
2013,E,0.1248
2010,A,0.0608
2013,C,0.08421
2012,A,0.0517
2012,HR,0.1271
2010,AA,0.0555
2011,B,0.09
2013,E,0.10256
2013,D,0.099
2013,AA,0.0498
2012,B,0.1385
2013,C,0.08529
2013,C,0.0912
2013,A,0.0666
2013,A,0.0749
2013,B,0.0876
2013,A,0.0603
2013,D,0.08578
2011,B,0.1074
2013,A,0.0691
2013,E,0.1107
2012,B,0.1272
2013,B,0.0789
2013,C,0.08728
2012,D,0.1202
2013,B,0.0876
2013,C,0.08473
2013,B,0.0697
2013,E,0.10423
2011,E,0.1152
2013,C,0.0984
2012,HR,0.1174
2011,D,0.1317
2013,D,0.1025
2011,E,0.1487
2013,E,0.1137
2011,B,0.0488
2013,C,0.0984
2012,AA,0.0762
2013,E,0.115
2012,E,0.1257
2013,C,0.1091
2012,E,0.1276
2011,HR,0.1267
2012,B,0.1074
2010,E,0.1557
2012,C,0.1442
2012,HR,0.1246
2012,B,0.1389
2012,C,0.0965
2013,AA,0.0552
2013,HR,0.1185
2009,A,0.1024
2012,D,0.1144
2013,C,0.07766
2011,D,0.1414
2011,B,0.0973
2012,HR,0.1246
2010,C,0.046
2010,HR,0.0994
2012,D,0.1104
2012,HR,0.1246
2013,C,0.08284
2013,C,0.08529
2012,B,0.0761
2013,C,0.08172
2013,B,0.1001
2011,E,0.1487
2013,D,0.1051
2013,D,0.0927
2012,A,0.101
2013,D,0.099
2013,E,0.10941
2012,E,0.1276
2012,E,0.1276
2009,A,0.0697
2013,D,0.1173
2012,D,0.1065
2013,B,0.0878
2009,AA,0.0552
2013,AA,0.04929
2012,D,0.1487
2013,D,0.09066
2013,D,0.09609
2013,C,0.08728
2012,B,0.128
2012,HR,0.1271
2010,C,0.1207
2013,B,0.07192
2012,AA,0.0552
2010,AA,0.068
2013,HR,0.11348
2013,C,0.08529
2012,D,0.115
2010,A,0.0608
2013,AA,0.0547
2012,B,0.0926
2011,E,0.1347
2013,C,0.08284
2013,E,0.10941
2012,C,0.111
2012,A,0.0657
2010,C,0.1341
2012,HR,0.1246
2013,B,0.0888
2013,C,0.08529
2013,D,0.1235
2011,D,0.1317
2013,B,0.1001
2012,A,0.0906
2011,B,0.09
2010,D,0.1434
2011,HR,0.1267
2013,C,0.0955
2013,A,0.06026
2012,C,0.1422
2012,B,0.1385
2013,E,0.1122
2013,C,0.08524
2012,HR,0.1246
2013,C,0.1133
2013,E,0.1122
2013,B,0.0858
2010,C,0.1177
2013,A,0.0782
2013,A,0.06663
2012,C,0.0965
2013,C,0.07819
2013,C,0.08872
2013,A,0.0727
2012,D,0.1039
2013,B,0.0836
2013,C,0.08627
2013,AA,0.04261
2013,C,0.07766
2013,C,0.1115
2012,A,0.0597
2012,D,0.115
2010,E,0.1557
2013,E,0.115
2012,A,0.0386
2013,C,0.1152
2009,C,0.1216
2010,D,0.1504
2013,E,0.1107
2010,D,0.1223
2013,C,0.0922
2011,E,0.1439
2012,E,0.1257
2012,A,0.0631
2012,HR,0.1246
2012,HR,0.1246
2011,E,0.1487
2012,D,0.1039
2010,HR,0.1294
2012,D,0.1487
2011,E,0.1487
2012,D,0.1281
2012,A,0.101
2012,HR,0.1221
2012,D,0.1202
2013,B,0.0838
2011,A,0.0905
2012,C,0.1083
2013,C,0.0941
2011,D,0.1414
2011,D,0.1317
2011,D,0.1414
2012,E,0.1239
2013,A,0.07078
2013,C,0.08926
2012,B,0.0761
2012,D,0.1144
2011,D,0.1048
2013,E,0.1137
2010,D,0.1463
2011,D,0.1454
2012,D,0.1144
2010,E,0.1761
2012,HR,0.1271
2013,A,0.0691
2011,A,0.0905
2013,B,0.08215
2012,HR,0.1271
2013,B,0.0876
2010,D,0.1504
2012,A,0.0662
2013,C,0.0999
2012,HR,0.1174
2012,E,0.1276
2013,C,0.08529
2013,C,0.0912
2012,HR,0.1246
2012,C,0.0912
2013,AA,0.0532
2011,D,0.1357
2013,B,0.1001
2009,AA,0.07
2013,A,0.06706
2013,B,0.07689
2012,D,0.115
2012,C,0.1437
2011,D,0.0688
2010,HR,0.0705
2012,B,0.0935
